date,open,high,low,close,volume,zchange,zAVG,zturnover,zPER,zPBR,zPSR,zPCFR
1998-10-21,0.5466,0.5871,0.5368,0.5405,79638200.0,2.0833,4.5191,34.6253,22.6487,5.508,1.4495,
1998-10-22,0.538,0.5442,0.5184,0.5344,25439200.0,-1.1338,4.3491,11.0605,22.3919,5.4455,1.4331,
1998-10-23,0.5356,0.5503,0.527,0.5319,14506600.0,-0.4587,4.3792,6.3072,22.2892,5.4206,1.4265,
1998-10-26,0.5319,0.5319,0.5062,0.5123,12359000.0,-3.6866,4.224,5.3735,21.4675,5.2207,1.3739,
1998-10-27,0.5123,0.5295,0.5098,0.516,5726300.0,0.7177,4.2211,2.4897,21.6216,5.2582,1.3838,
1998-10-28,0.5123,0.5331,0.4902,0.5074,4596700.0,-1.6627,4.173,1.9986,21.262,5.1708,1.3608,
1998-10-29,0.5062,0.5086,0.4964,0.4976,7437200.0,-1.9324,4.0844,3.2336,20.8512,5.0709,1.3345,
1998-10-30,0.4964,0.5086,0.4964,0.4988,5766700.0,0.2463,4.0811,2.5073,20.9025,5.0833,1.3378,
1998-11-02,0.4988,0.5,0.4902,0.4915,5528200.0,-1.4742,4.0192,2.4036,20.5944,5.0084,1.3181,
1998-11-03,0.4915,0.5098,0.4902,0.4939,5371700.0,0.4988,4.0673,2.3355,20.6971,5.0334,1.3246,
1998-11-04,0.4951,0.5,0.489,0.4902,4910000.0,-0.7444,4.016,2.1348,20.543,4.9959,1.3148,
1998-11-05,0.4915,0.5062,0.4902,0.5013,4505600.0,2.25,4.0437,1.959,21.0053,5.1083,1.3444,
1998-11-06,0.5062,0.5098,0.5013,0.5025,5319200.0,0.2445,4.1162,2.3127,21.0566,5.1208,1.3476,
1998-11-09,0.5049,0.5466,0.5037,0.5331,15102900.0,6.0976,4.3205,6.5665,22.3406,5.4331,1.4298,
1998-11-10,0.5331,0.5393,0.5209,0.5282,8466400.0,-0.9195,4.313,3.681,22.1351,5.3831,1.4167,
1998-11-11,0.527,0.527,0.5147,0.5196,4622900.0,-1.6241,4.2387,2.01,21.7756,5.2957,1.3937,
1998-11-12,0.5196,0.5221,0.5086,0.5098,4047700.0,-1.8868,4.1855,1.7599,21.3648,5.1958,1.3674,
1998-11-13,0.5098,0.5295,0.5049,0.5209,5888800.0,2.1635,4.2649,2.5603,21.827,5.3082,1.3969,
1998-11-16,0.5258,0.5429,0.5245,0.5393,12413900.0,3.5294,4.3772,5.3973,22.5973,5.4955,1.4462,
1998-11-17,0.5393,0.5405,0.527,0.5344,6953300.0,-0.9091,4.3698,3.0232,22.3919,5.4455,1.4331,
1998-11-18,0.5344,0.5454,0.5307,0.5344,8445500.0,0.0,4.4004,3.672,22.3919,5.4455,1.4331,
1998-11-19,0.5344,0.5417,0.5331,0.5393,6755800.0,0.9174,4.3972,2.9373,22.5973,5.4955,1.4462,
