date,open,high,low,close,volume,zchange,zAVG,zturnover,zPER,zPBR,zPSR,zPCFR
1998-06-16,1.0359,1.1657,0.9862,1.1275,18935500.0,429.484,20.4236,70.1315,112.4445,27.9964,34.4156,
1998-06-17,1.104,1.1772,1.0699,1.1432,6722000.0,1.3921,21.3252,24.8963,114.0098,28.3862,34.8947,
1998-06-18,1.1406,1.1589,1.0992,1.116,2810900.0,-2.3799,21.5207,10.4107,111.2965,27.7106,34.0642,
1998-06-19,1.1081,1.1568,1.0883,1.1223,2780800.0,0.5626,21.445,10.2993,111.9227,27.8665,34.2558,
1998-06-22,1.1249,1.1929,1.1238,1.1374,3697600.0,1.352,22.1616,13.6948,113.4358,28.2433,34.719,
1998-06-23,1.1327,1.1877,1.1249,1.1877,2680800.0,4.4158,22.0989,9.9289,118.445,29.4904,36.2521,
1998-06-24,1.2034,1.2191,1.151,1.1605,2223800.0,-2.2907,22.6467,8.2363,115.7317,28.8149,35.4217,
1998-06-25,1.1615,1.172,1.1134,1.1181,1982800.0,-3.6519,21.6256,7.3437,111.5052,27.7626,34.1281,
1998-06-26,1.1249,1.1353,1.0977,1.1081,1222700.0,-0.8891,21.1719,4.5285,110.5138,27.5157,33.8247,
1998-06-29,1.1029,1.1029,1.0401,1.0516,2010600.0,-5.0992,20.22,7.4467,104.8786,26.1127,32.0999,
1998-06-30,1.0516,1.0747,1.037,1.0637,619200.0,1.1443,20.125,2.2933,106.0787,26.4115,32.4672,
1998-07-01,1.083,1.0924,0.9988,1.0045,1204900.0,-5.5583,19.7785,4.4626,100.1825,24.9434,30.6626,
1998-07-02,0.9941,1.0621,0.9941,1.0506,1273400.0,4.5833,19.6952,4.7163,104.7742,26.0867,32.0679,
1998-07-03,1.0506,1.0516,1.0202,1.0265,601000.0,-2.2908,19.7038,2.2259,102.374,25.4891,31.3333,
1998-07-06,1.0265,1.0265,0.9941,1.0045,589000.0,-2.1407,19.1985,2.1815,100.1825,24.9434,30.6626,
1998-07-07,1.004,1.0302,0.9889,1.0281,443900.0,2.3438,19.3091,1.6441,102.5306,25.5281,31.3812,
1998-07-08,1.0307,1.0401,1.0208,1.0255,376500.0,-0.2545,19.6889,1.3944,102.2697,25.4631,31.3014,
1998-07-09,1.0359,1.1113,1.0312,1.0788,1992800.0,5.2041,20.695,7.3807,107.5919,26.7882,32.9303,
1998-07-10,1.0778,1.0961,1.0621,1.082,579200.0,0.291,20.5963,2.1452,107.9049,26.8662,33.0262,
1998-07-13,1.0987,1.1144,1.082,1.0846,1353600.0,0.2418,21.0101,5.0133,108.1658,26.9311,33.106,
1998-07-14,1.0883,1.1369,1.0726,1.104,2212300.0,1.7849,21.3307,8.1937,110.0964,27.4118,33.6969,
1998-07-15,1.0987,1.1144,1.0888,1.0961,934000.0,-0.7109,20.9955,3.4593,109.3137,27.2169,33.4573,
1998-07-16,1.0935,1.094,1.0495,1.0658,701400.0,-2.7685,20.4553,2.5978,106.2874,26.4634,32.5311,
1998-07-17,1.0658,1.0804,1.0454,1.0647,671300.0,-0.0982,20.3476,2.4863,106.183,26.4374,32.4991,
1998-07-20,1.0569,1.072,1.0359,1.0464,777600.0,-1.7199,20.0979,2.88,104.3568,25.9828,31.9402,
1998-07-21,1.0464,1.0804,1.0318,1.0464,859600.0,0.0,20.0382,3.1837,104.3568,25.9828,31.9402,
1998-07-22,1.049,1.0595,1.0124,1.0192,669700.0,-2.6,19.6937,2.4804,101.6435,25.3072,31.1097,
1998-07-23,1.015,1.0454,1.015,1.0401,618700.0,2.0534,19.5852,2.2915,103.7307,25.8269,31.7485,
1998-07-24,1.0359,1.0506,1.0281,1.0454,380500.0,0.503,19.9338,1.4093,104.2524,25.9568,31.9082,
1998-07-27,1.0464,1.0621,1.0281,1.0312,332500.0,-1.3514,19.8487,1.2315,102.8436,25.606,31.4771,
1998-07-28,1.0359,1.0454,1.0255,1.0454,158200.0,1.3699,19.7966,0.5859,104.2524,25.9568,31.9082,
1998-07-29,1.0464,1.072,1.0412,1.0464,318700.0,0.1001,20.2241,1.1804,104.3568,25.9828,31.9402,
1998-07-30,1.0464,1.0516,1.0297,1.0307,206200.0,-1.5,19.7959,0.7637,102.7914,25.593,31.4611,
1998-07-31,1.0333,1.0401,0.9993,1.0202,877600.0,-1.0152,19.3085,3.2504,101.7479,25.3332,31.1417,
1998-08-03,1.014,1.0176,0.9993,1.0066,369500.0,-1.3333,19.2296,1.3685,100.3912,24.9954,30.7265,
1998-08-04,1.0019,1.0218,1.0019,1.0218,188200.0,1.5073,19.3621,0.697,101.9044,25.3722,31.1896,
1998-08-05,1.0307,1.0459,1.0124,1.025,338700.0,0.3072,19.7001,1.2544,102.2175,25.4501,31.2854,
1998-08-06,1.0391,1.0642,1.0208,1.0234,564700.0,-0.1531,19.9649,2.0915,102.0609,25.4111,31.2375,
