date,open,high,low,close,volume,zchange,zAVG,zturnover,zPER,zPBR,zPSR,zPCFR
1999-12-16,2.4179,2.469,2.3073,2.3584,68031400.0,7.5728,5.5872,38.8751,15.1566,4.3816,1.4547,
1999-12-17,2.3584,2.3584,2.2604,2.269,13722500.0,-3.7906,5.3712,7.8414,14.5821,4.2155,1.3995,
1999-12-21,2.2519,2.2519,2.171,2.2434,6655000.0,-1.1257,5.1903,3.8029,14.4179,4.1681,1.3838,
1999-12-22,2.2136,2.2306,2.1796,2.2051,3534900.0,-1.7078,5.1695,2.0199,14.1717,4.0969,1.3601,
1999-12-23,2.1923,2.1966,2.1498,2.1838,4368750.0,-0.9653,5.0947,2.4964,14.0349,4.0573,1.347,
1999-12-24,2.171,2.2008,2.1583,2.1753,1676100.0,-0.3899,5.1082,0.9578,13.9802,4.0415,1.3418,
1999-12-27,2.1753,2.1966,2.171,2.171,2129700.0,-0.1957,5.1162,1.217,13.9528,4.0336,1.3391,
1999-12-28,2.1753,2.2306,2.1753,2.1838,2198300.0,0.5882,5.1483,1.2562,14.0349,4.0573,1.347,
1999-12-29,2.1923,2.2136,2.171,2.1923,1814300.0,0.3899,5.1398,1.0367,14.0896,4.0731,1.3523,
1999-12-30,2.2136,2.2264,2.1923,2.1923,1166000.0,0.0,5.17,0.6663,14.0896,4.0731,1.3523,
2000-01-04,2.2136,2.2179,2.1796,2.2094,2440000.0,0.7767,5.1695,1.3943,14.1991,4.1048,1.0468,14.3883
2000-01-05,2.2136,2.269,2.1966,2.2136,6316200.0,0.1927,5.2384,3.6093,14.2264,4.1127,1.0488,14.416
2000-01-06,2.2051,2.2477,2.1796,2.2349,5182000.0,0.9615,5.1998,2.9611,14.3632,4.1522,1.0589,14.5546
2000-01-07,2.2392,2.2988,2.2349,2.286,11694100.0,2.2857,5.3158,6.6823,14.6915,4.2471,1.0831,14.8873
2000-01-10,2.32,2.3328,2.2562,2.2902,9518700.0,0.1862,5.3671,5.4393,14.7189,4.2551,1.0851,14.915
2000-01-11,2.2902,2.2988,2.2008,2.2136,5372800.0,-3.3457,5.2753,3.0702,14.2264,4.1127,1.0488,14.416
2000-01-12,2.2094,2.2306,2.1796,2.1881,3093700.0,-1.1538,5.1546,1.7678,14.0623,4.0652,1.0367,14.2497
2000-01-13,2.1966,2.2519,2.1796,2.2051,3016100.0,0.7782,5.2047,1.7235,14.1717,4.0969,1.0448,14.3606
2000-01-14,2.2051,2.2264,2.1753,2.1838,2045400.0,-0.9653,5.14,1.1688,14.0349,4.0573,1.0347,14.222
2000-01-17,2.1966,2.2094,2.171,2.1881,1563200.0,0.1949,5.1366,0.8933,14.0623,4.0652,1.0367,14.2497
2000-01-18,2.1923,2.2264,2.1838,2.1966,1813800.0,0.3891,5.1704,1.0365,14.117,4.0811,1.0407,14.3051
2000-01-19,2.1966,2.2306,2.1923,2.2051,1637500.0,0.3876,5.1914,0.9357,14.1717,4.0969,1.0448,14.3606
2000-01-20,2.2008,2.2051,2.1838,2.1923,2008600.0,-0.5792,5.1429,1.1478,14.0896,4.0731,1.0387,14.2774
2000-01-21,2.1923,2.2051,2.171,2.1796,3329000.0,-0.5825,5.1238,1.9023,14.0076,4.0494,1.0327,14.1942
2000-01-24,2.3498,2.3967,2.2817,2.3967,25875600.0,9.9609,5.5908,14.7861,15.4028,4.4528,1.1355,15.6081
2000-01-25,2.5669,2.6351,2.4307,2.6351,59950100.0,9.9467,5.9963,34.2572,16.9349,4.8957,1.2485,17.1606
2000-01-26,2.6351,2.6351,2.5116,2.5329,22218800.0,-3.8772,6.0345,12.6965,16.2783,4.7059,1.2001,16.4953
2000-01-27,2.5457,2.618,2.452,2.5627,17133800.0,1.1765,5.9065,9.7907,16.4698,4.7612,1.2142,16.6893
2000-01-28,2.5755,2.6861,2.4988,2.601,19678500.0,1.495,6.1247,11.2449,16.716,4.8324,1.2324,16.9388
2000-02-14,2.6734,2.8649,2.6734,2.8649,20534400.0,10.1473,6.64,11.7339,18.4123,5.3228,1.3574,18.6577
2000-02-15,2.9373,2.9671,2.6393,2.6819,19795200.0,-6.3893,6.702,11.3115,17.2359,4.9827,1.2707,17.4656
2000-02-16,2.6734,2.7883,2.5669,2.7457,15570000.0,2.381,6.2783,8.8971,17.6462,5.1013,1.3009,17.8814
2000-02-17,2.767,2.8309,2.5627,2.6053,17198900.0,-5.1163,6.2908,9.8279,16.7434,4.8403,1.2344,16.9666
2000-02-18,2.5967,2.6606,2.5542,2.5882,8025600.0,-0.6536,6.0889,4.5861,16.634,4.8087,1.2263,16.8557
2000-02-21,2.5882,2.6819,2.469,2.6521,11067800.0,2.4671,6.0507,6.3245,17.0444,4.9273,1.2566,17.2715
2000-02-22,2.6649,2.7926,2.5755,2.5967,11818400.0,-2.0867,6.3242,6.7534,16.6887,4.8245,1.2303,16.9111
2000-02-23,2.5542,2.5925,2.5031,2.5159,6067500.0,-3.1148,5.9635,3.4671,16.1689,4.6742,1.192,16.3844
2000-02-24,2.5244,2.5797,2.5031,2.5542,3207300.0,1.5228,5.9663,1.8327,16.4151,4.7454,1.2102,16.6339
2000-02-25,2.5584,2.6265,2.5159,2.5627,4282500.0,0.3333,6.0144,2.4471,16.4698,4.7612,1.2142,16.6893
2000-02-28,2.7159,2.767,2.6351,2.7244,14934100.0,6.3123,6.358,8.5338,17.5094,5.0618,1.2909,17.7428
2000-02-29,2.7585,2.7628,2.5967,2.6351,7046900.0,-3.2812,6.2529,4.0268,16.9349,4.8957,1.2485,17.1606
2000-03-01,2.6351,2.7372,2.6223,2.6478,5114200.0,0.4847,6.2367,2.9224,17.017,4.9194,1.2545,17.2438
2000-03-02,2.6606,2.7032,2.5755,2.6223,5191400.0,-0.9646,6.1439,2.9665,16.8528,4.872,1.2424,17.0774
2000-03-03,2.6223,2.6649,2.5967,2.6351,4929300.0,0.487,6.1807,2.8167,16.9349,4.8957,1.2485,17.1606
2000-03-06,2.899,2.899,2.899,2.899,8650500.0,10.0162,6.81,4.9431,18.6311,5.386,1.3735,18.8794
2000-03-07,3.1076,3.1374,2.9288,3.0139,44357900.0,3.9648,7.1362,25.3474,19.3698,5.5996,1.428,19.628
2000-03-08,2.9799,3.0011,2.8351,2.9075,14213300.0,-3.5311,6.8439,8.1219,18.6859,5.4019,1.3776,18.9349
2000-03-09,2.8947,2.9586,2.8011,2.8479,10031800.0,-2.0498,6.7445,5.7325,18.3028,5.2911,1.3493,18.5468
2000-03-10,2.8181,2.8309,2.7372,2.7457,8000300.0,-3.5874,6.5364,4.5716,17.6462,5.1013,1.3009,17.8814
2000-03-13,2.7159,2.8351,2.7074,2.7628,6482100.0,0.6202,6.5065,3.7041,17.7557,5.133,1.309,17.9923
2000-03-14,2.7244,2.7628,2.6393,2.6861,7306300.0,-2.7735,6.3227,4.175,17.2632,4.9906,1.2727,17.4933
2000-03-15,2.6649,2.8734,2.6649,2.8181,9939600.0,4.9128,6.5512,5.6798,18.1113,5.2358,1.3352,18.3527
2000-03-16,2.7244,2.7585,2.5669,2.5967,19958000.0,-7.855,6.1785,7.7357,16.6887,4.8245,1.2303,16.9111
2000-03-17,2.5925,2.6691,2.5755,2.6138,7902400.0,0.6557,6.1572,3.0629,16.7981,4.8561,1.2384,17.022
2000-03-20,2.5967,2.6946,2.5542,2.6478,14302200.0,1.3029,6.1926,5.5435,17.017,4.9194,1.2545,17.2438
2000-03-21,2.6606,2.6819,2.618,2.6606,9055400.0,0.4823,6.2106,3.5098,17.0991,4.9431,1.2606,17.327
2000-03-22,2.6649,2.6691,2.6265,2.6563,5062600.0,-0.16,6.2054,1.9622,17.0717,4.9352,1.2586,17.2992
