date,open,high,low,close,volume,zchange,zAVG,zturnover,zPER,zPBR,zPSR,zPCFR
2001-12-06,2.6091,2.7602,2.6091,2.6758,123438106.0,71.5723,13.6476,84.1977,30.9504,3.3865,6.5168,-162.1154
2001-12-07,2.668,2.6836,2.5561,2.5718,21226690.0,-3.8856,13.4238,14.4788,29.7478,3.2549,6.2635,-155.8162
2001-12-10,2.5542,2.6052,2.5032,2.5856,11154109.0,0.5339,13.0089,7.6083,29.9067,3.2723,6.297,-156.6481
2001-12-11,2.5699,2.6091,2.5404,2.5424,5654160.0,-1.6692,13.1103,3.8567,29.4075,3.2177,6.1919,-154.0334
2001-12-12,2.5306,2.6935,2.5247,2.6405,18886173.0,3.858,13.4712,12.8824,30.542,3.3418,6.4308,-159.976
2001-12-13,2.6346,2.666,2.6052,2.6248,5719654.0,-0.5944,13.4603,3.9014,30.3605,3.322,6.3925,-159.0252
2001-12-14,2.613,2.664,2.6052,2.6111,3588120.0,-0.5232,13.4169,2.4475,30.2016,3.3046,6.3591,-158.1932
2001-12-17,2.6287,2.6581,2.6091,2.6111,2935549.0,0.0,13.4098,2.0024,30.2016,3.3046,6.3591,-158.1932
2001-12-18,2.6091,2.6248,2.5306,2.5836,7393558.0,-1.0518,13.0643,5.0432,29.884,3.2698,6.2922,-156.5293
2001-12-19,2.5836,2.5973,2.5365,2.5483,3267712.0,-1.3667,13.0525,2.2289,29.4755,3.2252,6.2062,-154.3899
2001-12-20,2.5306,2.5346,2.4384,2.4522,7445758.0,-3.7721,12.5946,5.0788,28.3637,3.1035,5.9721,-148.5661
2001-12-21,2.4325,2.4679,2.409,2.458,3083413.0,0.24,12.3834,2.1032,28.4317,3.1109,5.9864,-148.9227
2001-12-24,2.4325,2.4522,2.3737,2.407,4534291.0,-2.075,12.2749,3.0929,27.8418,3.0464,5.8622,-145.8325
2001-12-25,2.409,2.4639,2.3914,2.4345,3351630.0,1.141,12.4071,2.2862,28.1595,3.0812,5.9291,-147.4965
2001-12-26,2.4149,2.5032,2.4129,2.4522,3566726.0,0.7252,12.5379,2.4329,28.3637,3.1035,5.9721,-148.5661
2001-12-27,2.4679,2.4953,2.4443,2.4522,3720942.0,0.0,12.5574,2.5381,28.3637,3.1035,5.9721,-148.5661
2001-12-28,2.4522,2.4679,2.4188,2.4561,2142850.0,0.16,12.4498,1.4616,28.4091,3.1085,5.9817,-148.8039
2001-12-31,2.4639,2.4992,2.4561,2.4659,2109999.0,0.3994,12.6217,1.4392,28.5225,3.1209,6.0055,-149.3981
