date,open,high,low,close,volume,zchange,zAVG,zturnover,zPER,zPBR,zPSR,zPCFR
1993-10-08,0.8191,0.8293,0.7918,0.7952,3047200.0,165.9817,11.7688,6.0944,3.40282346638529e+38,,,
1993-10-11,0.8191,0.8293,0.7918,0.7952,3047200.0,0.0,11.7688,6.0944,3.40282346638529e+38,,,
1993-10-12,0.7542,0.7713,0.7508,0.7645,1229500.0,-3.8627,11.1167,2.459,3.40282346638529e+38,,,
1993-10-13,0.7645,0.7679,0.7371,0.7371,1098600.0,-3.5714,10.943,2.1972,3.40282346638529e+38,,,
1993-10-14,0.7303,0.7371,0.7167,0.7371,1054200.0,0.0,10.5729,2.1084,3.40282346638529e+38,,,
1993-10-15,0.7371,0.7508,0.7303,0.744,794700.0,0.9259,10.862,1.5894,3.40282346638529e+38,,,
1993-10-18,0.744,0.744,0.7133,0.7133,916900.0,-4.1284,10.5333,1.8338,3.40282346638529e+38,,,
1993-10-19,0.7098,0.744,0.6996,0.7167,886600.0,0.4785,10.4985,1.7732,3.40282346638529e+38,,,
1993-10-20,0.7098,0.7167,0.703,0.7064,458500.0,-1.4286,10.3708,0.917,3.40282346638529e+38,,,
1993-10-21,0.7064,0.7098,0.6996,0.6996,509400.0,-0.9662,10.3062,1.0188,3.40282346638529e+38,,,
1993-10-22,0.6962,0.6962,0.6825,0.6962,832800.0,-0.4878,10.1261,1.6656,3.40282346638529e+38,,,
1993-10-25,0.6894,0.6894,0.6723,0.6757,843900.0,-2.9412,9.9704,1.6878,3.40282346638529e+38,,,
1993-10-26,0.6757,0.6894,0.6621,0.6894,610700.0,2.0202,9.8199,1.2214,3.40282346638529e+38,,,
1993-10-27,0.6996,0.703,0.6689,0.686,1049800.0,-0.495,10.0962,2.0996,3.40282346638529e+38,,,
1993-10-28,0.6825,0.7167,0.6757,0.7133,880800.0,3.9801,10.2032,1.7616,3.40282346638529e+38,,,
1993-10-29,0.7235,0.7235,0.686,0.686,1138300.0,-3.8278,10.3637,2.2766,3.40282346638529e+38,,,
1993-11-01,0.6825,0.686,0.6757,0.6757,400200.0,-1.4925,9.9725,0.8004,3.40282346638529e+38,,,
1993-11-02,0.6757,0.6962,0.6757,0.686,292400.0,1.5152,10.0376,0.5848,3.40282346638529e+38,,,
1993-11-03,0.6894,0.6928,0.6757,0.6757,327800.0,-1.4925,10.0183,0.6556,3.40282346638529e+38,,,
1993-11-04,0.6791,0.6791,0.6655,0.6689,227500.0,-1.0101,9.8022,0.455,3.40282346638529e+38,,,
1993-11-05,0.6655,0.6757,0.6621,0.6757,297300.0,1.0204,9.7881,0.5946,3.40282346638529e+38,,,
1993-11-08,0.6757,0.7167,0.6723,0.6962,845100.0,3.0303,10.0816,1.6902,3.40282346638529e+38,,,
1993-11-09,0.6894,0.6894,0.6723,0.6723,527300.0,-3.4314,9.964,1.0546,3.40282346638529e+38,,,
1993-11-10,0.6689,0.7167,0.6689,0.7064,1970700.0,5.0761,10.275,3.9414,3.40282346638529e+38,,,
1993-11-11,0.7167,0.744,0.7098,0.7371,2593400.0,4.3478,10.6235,5.1868,3.40282346638529e+38,,,
1993-11-12,0.7474,0.7849,0.7474,0.7815,5651100.0,6.0185,11.3143,11.3022,3.40282346638529e+38,,,
1993-11-15,0.7918,0.8191,0.7918,0.7918,4697600.0,1.31,11.7735,9.3952,3.40282346638529e+38,,,
1993-11-16,0.7815,0.7815,0.7508,0.761,2514100.0,-3.8793,11.268,5.0282,3.40282346638529e+38,,,
1993-11-17,0.761,0.7849,0.761,0.7713,1703500.0,1.3453,11.3208,3.407,3.40282346638529e+38,,,
1993-11-18,0.7781,0.8088,0.7679,0.7713,2974200.0,0.0,11.5554,5.9484,3.40282346638529e+38,,,
1993-11-19,0.7815,0.7918,0.7713,0.7918,2606100.0,2.6549,11.4543,5.2122,3.40282346638529e+38,,,
1993-11-22,0.802,0.8566,0.802,0.8191,5324900.0,3.4483,12.1341,10.6498,3.40282346638529e+38,,,
1993-11-23,0.8259,0.8327,0.7781,0.7781,1980900.0,-5.0,11.7088,3.9618,3.40282346638529e+38,,,
1993-11-24,0.7679,0.7849,0.7371,0.7542,1665600.0,-3.0702,11.1287,3.3312,3.40282346638529e+38,,,
1993-11-25,0.7576,0.7747,0.744,0.7679,1145600.0,1.81,11.1749,2.2912,3.40282346638529e+38,,,
1993-11-26,0.7645,0.7679,0.744,0.7508,856800.0,-2.2222,11.0586,1.7136,3.40282346638529e+38,,,
1993-11-29,0.7406,0.744,0.7269,0.7337,585100.0,-2.2727,10.7264,1.1702,3.40282346638529e+38,,,
1993-11-30,0.7371,0.744,0.7235,0.7235,530500.0,-1.3953,10.7408,1.061,3.40282346638529e+38,,,
1993-12-01,0.7235,0.7303,0.703,0.703,428100.0,-2.8302,10.4485,0.8562,3.40282346638529e+38,,,
1993-12-02,0.703,0.7167,0.6894,0.6996,491300.0,-0.4854,10.2483,0.9826,3.40282346638529e+38,,,
1993-12-03,0.6928,0.7064,0.6894,0.6962,414400.0,-0.4878,10.251,0.8288,3.40282346638529e+38,,,
1993-12-06,0.6962,0.7064,0.6928,0.7064,532700.0,1.4706,10.2215,1.0654,3.40282346638529e+38,,,
1993-12-07,0.7133,0.7235,0.6962,0.6962,450000.0,-1.4493,10.34,0.9,3.40282346638529e+38,,,
1993-12-08,0.6962,0.703,0.6894,0.6962,328300.0,0.0,10.1645,0.6566,3.40282346638529e+38,,,
1993-12-09,0.6962,0.7064,0.6894,0.6962,252700.0,0.0,10.2097,0.5054,3.40282346638529e+38,,,
1993-12-10,0.6962,0.7303,0.6928,0.7303,953800.0,4.902,10.4718,1.9076,3.40282346638529e+38,,,
1993-12-13,0.7406,0.761,0.6825,0.7064,2454100.0,-3.271,10.751,4.9082,3.40282346638529e+38,,,
1993-12-14,0.7167,0.7406,0.7098,0.7133,589600.0,0.9662,10.5241,1.1792,3.40282346638529e+38,,,
1993-12-15,0.7133,0.7167,0.6996,0.7167,343000.0,0.4785,10.3819,0.686,3.40282346638529e+38,,,
1993-12-16,0.7235,0.7337,0.703,0.7064,490600.0,-1.4286,10.477,0.9812,3.40282346638529e+38,,,
1993-12-17,0.6996,0.7064,0.6962,0.6962,353900.0,-1.4493,10.2797,0.7078,3.40282346638529e+38,,,
1993-12-20,0.6962,0.6962,0.6279,0.6552,814800.0,-5.8824,9.7619,1.6296,3.40282346638529e+38,,,
1993-12-21,0.6552,0.6587,0.6143,0.6587,471400.0,0.5208,9.4824,0.9428,3.40282346638529e+38,,,
1993-12-22,0.6621,0.6621,0.6314,0.6314,272000.0,-4.1451,9.4338,0.544,3.40282346638529e+38,,,
1993-12-23,0.6177,0.6348,0.6109,0.6143,331900.0,-2.7027,9.1021,0.6638,3.40282346638529e+38,,,
1993-12-24,0.6041,0.6348,0.6041,0.6348,453000.0,3.3333,9.0839,0.906,3.40282346638529e+38,,,
1993-12-27,0.6416,0.6416,0.6143,0.6211,348700.0,-2.1505,9.1769,0.6974,3.40282346638529e+38,,,
1993-12-28,0.6143,0.6245,0.6143,0.6177,163200.0,-0.5495,9.0625,0.3264,3.40282346638529e+38,,,
1993-12-29,0.6143,0.6211,0.6075,0.6109,180400.0,-1.105,8.9856,0.3608,3.40282346638529e+38,,,
1993-12-30,0.6109,0.6279,0.6041,0.6109,310500.0,0.0,9.0177,0.621,3.40282346638529e+38,,,
1993-12-31,0.6143,0.6211,0.6006,0.6006,264800.0,-1.676,8.935,0.5296,3.40282346638529e+38,,,
1994-01-03,0.6006,0.6006,0.5768,0.5802,179100.0,-3.4091,8.593,0.3582,3.40282346638529e+38,,6.0385,
1994-01-04,0.5802,0.5904,0.5665,0.5665,189500.0,-2.3529,8.4011,0.379,3.40282346638529e+38,,5.8964,
1994-01-05,0.5665,0.5802,0.5597,0.5733,208200.0,1.2048,8.2949,0.4164,3.40282346638529e+38,,5.9674,
1994-01-06,0.5802,0.6143,0.5733,0.6109,575700.0,6.5476,8.7407,1.1514,3.40282346638529e+38,,6.3581,
1994-01-07,0.6211,0.6245,0.5938,0.6143,514300.0,0.5587,8.9189,1.0286,3.40282346638529e+38,,6.3937,
1994-01-10,0.6211,0.6279,0.6075,0.6177,595500.0,0.5556,9.0915,1.191,3.40282346638529e+38,,6.4292,
1994-01-11,0.6211,0.6211,0.5972,0.5972,251400.0,-3.3149,8.8982,0.5028,3.40282346638529e+38,,6.2161,
1994-01-12,0.6006,0.6041,0.5938,0.5972,168000.0,0.0,8.75,0.336,3.40282346638529e+38,,6.2161,
1994-01-13,0.5972,0.6006,0.5904,0.5972,181300.0,0.0,8.6983,0.3626,3.40282346638529e+38,,6.2161,
1994-01-14,0.6041,0.6041,0.5631,0.5733,798000.0,-4.0,8.4461,1.596,3.40282346638529e+38,,5.9674,
1994-01-17,0.5733,0.5733,0.5597,0.5665,302700.0,-1.1905,8.2821,0.6054,3.40282346638529e+38,,5.8964,
1994-01-18,0.5665,0.5972,0.5529,0.587,178200.0,3.6145,8.3221,0.3564,3.40282346638529e+38,,6.1095,
1994-01-19,0.587,0.587,0.5597,0.5665,177300.0,-3.4884,8.3305,0.3546,3.40282346638529e+38,,5.8964,
1994-01-20,0.5665,0.5699,0.5563,0.5597,180600.0,-1.2048,8.206,0.3612,3.40282346638529e+38,,5.8253,
1994-01-21,0.5597,0.5699,0.5563,0.5563,170500.0,-0.6098,8.2346,0.341,3.40282346638529e+38,,5.7898,
1994-01-24,0.5665,0.5733,0.5563,0.5563,134800.0,0.0,8.227,0.2696,3.40282346638529e+38,,5.7898,
1994-01-25,0.5563,0.5631,0.5426,0.5426,148800.0,-2.454,8.0511,0.2976,3.40282346638529e+38,,5.6477,
1994-01-26,0.5494,0.5494,0.5221,0.5221,162500.0,-3.7736,7.8277,0.325,3.40282346638529e+38,,5.4346,
1994-01-27,0.5187,0.5392,0.5119,0.5392,183300.0,3.268,7.7196,0.3666,3.40282346638529e+38,,5.6122,
1994-01-28,0.546,0.546,0.5187,0.5256,187900.0,-2.5316,7.7754,0.3758,3.40282346638529e+38,,5.4701,
1994-01-31,0.5051,0.5221,0.4914,0.4948,248000.0,-5.8442,7.3266,0.496,3.40282346638529e+38,,5.1504,
1994-02-01,0.4948,0.5119,0.488,0.4948,308600.0,0.0,7.3396,0.6172,3.40282346638529e+38,,5.1504,
1994-02-02,0.4914,0.5119,0.488,0.5085,291200.0,2.7586,7.3558,0.5824,3.40282346638529e+38,,5.2925,
1994-02-03,0.5119,0.5529,0.5085,0.5529,701400.0,8.7248,7.8186,1.4028,3.40282346638529e+38,,5.7543,
1994-02-04,0.5563,0.6143,0.5529,0.6143,1568400.0,11.1111,8.6445,3.1368,3.40282346638529e+38,,6.3937,
1994-02-14,0.6245,0.6279,0.546,0.5494,906000.0,-10.5556,8.4614,1.812,3.40282346638529e+38,,5.7188,
1994-02-15,0.546,0.5665,0.5324,0.5529,526600.0,0.6211,7.9757,1.0532,3.40282346638529e+38,,5.7543,
1994-02-16,0.5529,0.5665,0.5358,0.5426,436900.0,-1.8519,8.0888,0.8738,3.40282346638529e+38,,5.6477,
1994-02-17,0.5426,0.5426,0.5256,0.529,289200.0,-2.5157,7.7663,0.5784,3.40282346638529e+38,,5.5056,
