date,open,high,low,close,volume,zchange,zAVG,zturnover,zPER,zPBR,zPSR,zPCFR
2004-06-29,1.0584,1.07,0.9818,1.06,61968585.0,0.1572,6.2895,28.1675,10.0309,3.3411,0.5917,11.1367
2004-06-30,1.0484,1.0567,1.0101,1.0218,23504612.0,-3.6107,6.2063,10.6839,9.6687,3.2204,0.5703,10.7346
2004-07-01,1.0218,1.1233,1.0168,1.0933,60029150.0,7.0033,6.5353,27.286,10.3459,3.446,0.6102,11.4864
2004-07-02,1.0784,1.0983,1.0684,1.095,27818599.0,0.1522,6.509,12.6448,10.3616,3.4512,0.6112,11.5039
2004-07-05,1.0933,1.0933,1.0617,1.085,13345492.0,-0.9119,6.452,6.0661,10.2671,3.4197,0.6056,11.399
2004-07-06,1.0867,1.0933,1.0734,1.0833,16289464.0,-0.1534,6.518,7.4043,10.2514,3.4145,0.6047,11.3815
2004-07-07,1.085,1.085,1.06,1.07,11361683.0,-1.2289,6.4156,5.1644,10.1254,3.3725,0.5972,11.2416
2004-07-08,1.0667,1.07,1.0434,1.065,9396364.0,-0.4666,6.3485,4.2711,10.0782,3.3568,0.5944,11.1892
2004-07-09,1.065,1.0734,1.0567,1.0667,6280988.0,0.1563,6.3928,2.855,10.0939,3.362,0.5954,11.2067
2004-07-12,1.065,1.065,1.0301,1.0401,7718140.0,-2.4961,6.2956,3.5082,9.8419,3.2781,0.5805,10.9269
2004-07-13,1.0384,1.0684,1.0334,1.0484,8780646.0,0.8,6.3265,3.9912,9.9207,3.3043,0.5852,11.0143
2004-07-14,1.065,1.0767,1.0467,1.075,9231396.0,2.5397,6.388,4.1961,10.1726,3.3883,0.6,11.2941
2004-07-15,1.075,1.09,1.0617,1.0767,10702256.0,0.1548,6.4608,4.8647,10.1884,3.3935,0.6009,11.3116
2004-07-16,1.09,1.1066,1.08,1.0933,25858017.0,1.5456,6.5783,11.7536,10.3459,2.0447,0.6102,11.4864
2004-07-19,1.095,1.0983,1.0767,1.0833,11428914.0,-0.9132,6.5327,5.195,10.2514,2.0261,0.6047,11.3815
2004-07-20,1.0833,1.0883,1.0684,1.0684,7156562.0,-1.3825,6.4624,3.253,10.1096,1.998,0.5963,11.2241
2004-07-21,1.065,1.0734,1.0584,1.0667,4652148.0,-0.1558,6.4016,2.1146,10.0939,1.9949,0.5954,11.2067
2004-07-22,1.0667,1.07,1.0434,1.0451,7756803.0,-2.0281,6.3327,3.5258,9.8892,1.9545,0.5833,10.9794
2004-07-23,1.0401,1.0534,1.0318,1.0501,4674994.0,0.4777,6.2556,2.125,9.9364,1.9638,0.5861,11.0318
2004-07-26,1.0434,1.0451,1.0201,1.0234,5027055.0,-2.5357,6.1829,2.285,9.6845,1.914,0.5712,10.7521
2004-07-27,1.0218,1.0368,1.0101,1.0251,4042963.0,0.1626,6.1402,1.8377,9.7002,1.9171,0.5722,10.7696
