´úÂë,¼ò³Æ,ÈÕÆÚ,Ç°ÊÕÅÌ¼Û(Ôª),¿ªÅÌ¼Û(Ôª),×î¸ß¼Û(Ôª),×îµÍ¼Û(Ôª),ÊÕÅÌ¼Û(Ôª),³É½»Á¿(¹É),³É½»½ð¶î(Ôª),ÕÇµø(Ôª),ÕÇµø·ù(%),¾ù¼Û(Ôª),»»ÊÖÂÊ(%),A¹ÉÁ÷Í¨ÊÐÖµ(Ôª),B¹ÉÁ÷Í¨ÊÐÖµ(Ôª),×ÜÊÐÖµ(Ôª),A¹ÉÁ÷Í¨¹É±¾(¹É),B¹ÉÁ÷Í¨¹É±¾(¹É),×Ü¹É±¾(¹É),ÊÐÓ¯ÂÊ,ÊÐ¾»ÂÊ,ÊÐÏúÂÊ,ÊÐÏÖÂÊ,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-20,0.5393,0.5331,0.5405,0.5282,0.5295,4699600,20594552.5,-0.0098,-1.8182,4.3822,2.0433,993600000,N/A,2712960000,230000000,0,628000000,22.1865,5.3956,1.4199,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-23,0.5295,0.5295,0.538,0.5282,0.5319,3519500,15319399.5,0.0025,0.463,4.3527,1.5302,998200000,N/A,2725520000,230000000,0,628000000,22.2892,5.4206,1.4265,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-24,0.5319,0.5307,0.5393,0.5282,0.5319,2154500,9345738.4,0,0,4.3378,0.9367,998200000,N/A,2725520000,230000000,0,628000000,22.2892,5.4206,1.4265,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-25,0.5319,0.5319,0.5319,0.5209,0.5209,2444500,10518390.9,-0.011,-2.0737,4.3029,1.0628,977500000,N/A,2669000000,230000000,0,628000000,21.827,5.3082,1.3969,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-26,0.5209,0.5184,0.5258,0.5135,0.5196,2493300,10537074.5,-0.0012,-0.2353,4.2262,1.084,975200000,N/A,2662720000,230000000,0,628000000,21.7756,5.2957,1.3937,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-27,0.5196,0.5196,0.5258,0.5147,0.5233,2699900,11479417.4,0.0037,0.7075,4.2518,1.1739,982100000,N/A,2681560000,230000000,0,628000000,21.9297,5.3331,1.4035,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-11-30,0.5233,0.5172,0.5233,0.5147,0.5209,2247300,9534923.9,-0.0025,-0.4684,4.2428,0.9771,977500000,N/A,2669000000,230000000,0,628000000,21.827,5.3082,1.3969,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-01,0.5209,0.5184,0.5209,0.5172,0.5184,1923900,8140298.4,-0.0025,-0.4706,4.2311,0.8365,972900000,N/A,2656440000,230000000,0,628000000,21.7243,5.2832,1.3904,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-02,0.5184,0.5172,0.5245,0.5147,0.5196,1552400,6570071.6,0.0012,0.2364,4.2322,0.675,975200000,N/A,2662720000,230000000,0,628000000,21.7756,5.2957,1.3937,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-03,0.5196,0.5196,0.5221,0.5172,0.5196,1644400,6958057.2,0,0,4.2314,0.715,975200000,N/A,2662720000,230000000,0,628000000,21.7756,5.2957,1.3937,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-04,0.5196,0.5184,0.5221,0.5147,0.5172,3063800,12935503.8,-0.0025,-0.4717,4.222,1.3321,970600000,N/A,2650160000,230000000,0,628000000,21.6729,5.2707,1.3871,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-07,0.5172,0.5221,0.5258,0.5074,0.5098,1255000,5266893.3,-0.0074,-1.4218,4.1967,0.5457,956800000,N/A,2612480000,230000000,0,628000000,21.3648,5.1958,1.3674,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-08,0.5098,0.5086,0.5184,0.5086,0.5172,1355400,5687680.9,0.0074,1.4423,4.1963,0.5893,970600000,N/A,2650160000,230000000,0,628000000,21.6729,5.2707,1.3871,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-09,0.5172,0.5196,0.5295,0.5135,0.527,2125100,9084872.6,0.0098,1.8957,4.275,0.924,989000000,N/A,2700400000,230000000,0,628000000,22.0838,5.3706,1.4134,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-10,0.527,0.5258,0.527,0.5098,0.5111,1228900,5172544.5,-0.0159,-3.0233,4.2091,0.5343,959100000,N/A,2618760000,230000000,0,628000000,21.4161,5.2082,1.3706,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-11,0.5111,0.5111,0.5282,0.5086,0.527,3887300,16643268.1,0.0159,3.1175,4.2814,1.6901,989000000,N/A,2700400000,230000000,0,628000000,22.0838,5.3706,1.4134,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-14,0.527,0.527,0.538,0.5209,0.5209,2803100,12126707.6,-0.0061,-1.1628,4.3262,1.2187,977500000,N/A,2669000000,230000000,0,628000000,21.827,5.3082,1.3969,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-15,0.5209,0.5209,0.5221,0.5111,0.5184,1419200,5962835.4,-0.0025,-0.4706,4.2015,0.617,972900000,N/A,2656440000,230000000,0,628000000,21.7243,5.2832,1.3904,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-16,0.5184,0.5184,0.5209,0.5098,0.5111,745900,3127065,-0.0074,-1.4184,4.1923,0.3243,959100000,N/A,2618760000,230000000,0,628000000,21.4161,5.2082,1.3706,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-17,0.5111,0.5086,0.5196,0.5049,0.5049,1246900,5187926,-0.0061,-1.199,4.1607,0.5421,947600000,N/A,2587360000,230000000,0,628000000,21.1593,5.1458,1.3542,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-18,0.5049,0.5037,0.5147,0.4964,0.5025,1277200,5246203.2,-0.0025,-0.4854,4.1076,0.5553,943000000,N/A,2574800000,230000000,0,628000000,21.0566,5.1208,1.3476,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-21,0.5025,0.5025,0.5184,0.5,0.5086,912300,3800104.6,0.0061,1.2195,4.1654,0.3967,954500000,N/A,2606200000,230000000,0,628000000,21.3134,5.1833,1.3641,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-22,0.5086,0.5086,0.5147,0.5062,0.5147,1370400,5716041.4,0.0061,1.2048,4.1711,0.5958,966000000,N/A,2637600000,230000000,0,628000000,21.5702,5.2457,1.3805,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-23,0.5147,0.5135,0.5147,0.5062,0.5074,1111300,4609903.2,-0.0074,-1.4286,4.1482,0.4832,952200000,N/A,2599920000,230000000,0,628000000,21.262,5.1708,1.3608,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-24,0.5074,0.5074,0.5086,0.4964,0.5037,1814300,7426429.8,-0.0037,-0.7246,4.0933,0.7888,945300000,N/A,2581080000,230000000,0,628000000,21.108,5.1333,1.3509,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-25,0.5037,0.5025,0.5074,0.5025,0.5037,556600,2293848,0,0,4.1212,0.242,945300000,N/A,2581080000,230000000,0,628000000,21.108,5.1333,1.3509,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-28,0.5037,0.5037,0.5086,0.4964,0.4988,1509000,6178106.5,-0.0049,-0.9732,4.0942,0.6561,936100000,N/A,2555960000,230000000,0,628000000,20.9025,5.0833,1.3378,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-29,0.4988,0.4988,0.5025,0.4939,0.4964,1444000,5861654,-0.0025,-0.4914,4.0593,0.6278,931500000,N/A,2543400000,230000000,0,628000000,20.7998,5.0584,1.3312,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-30,0.4964,0.4939,0.5025,0.4915,0.4976,1404600,5675190.1,0.0012,0.2469,4.0404,0.6107,933800000,N/A,2549680000,230000000,0,628000000,20.8512,5.0709,1.3345,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1998-12-31,0.4976,0.4939,0.5,0.4927,0.4964,1142900,4614429.3,-0.0012,-0.2463,4.0375,0.4969,931500000,N/A,2543400000,230000000,0,628000000,20.7998,5.0584,1.3312,N/A,
000825.SZ,Ì«¸Ö²»Ðâ,1999-01-04,0.4964,0.4915,0.4964,0.4829,0.4829,1653200,6584295.4,-0.0135,-2.716,3.9828,0.7188,906200000,N/A,2474320000,230000000,0,628000000,20.2349,4.921,1.0345,7.6164,
000825.SZ,Ì«¸Ö²»Ðâ,1999-01-05,0.4829,0.4829,0.4829,0.4706,0.4755,1502500,5823636.9,-0.0074,-1.5228,3.876,0.6533,892400000,N/A,2436640000,230000000,0,628000000,19.9268,4.846,1.0188,7.5004,
000825.SZ,Ì«¸Ö²»Ðâ,1999-01-06,0.4755,0.4768,0.4927,0.4768,0.4841,1160700,4590936.5,0.0086,1.8041,3.9553,0.5047,908500000,N/A,2480600000,230000000,0,628000000,20.2863,4.9335,1.0371,7.6357,
000825.SZ,Ì«¸Ö²»Ðâ,1999-01-07,0.4841,0.4853,0.4878,0.4792,0.4792,633500,2492416.3,-0.0049,-1.0127,3.9344,0.2754,899300000,N/A,2455480000,230000000,0,628000000,20.0808,4.8835,1.0266,7.5584,
000825.SZ,Ì«¸Ö²»Ðâ,1999-01-08,0.4792,0.4792,0.489,0.478,0.4878,1197300,4733967,0.0086,1.7903,3.9539,0.5206,915400000,N/A,2499440000,230000000,0,628000000,20.4403,4.9709,1.045,7.6937,
000825.SZ,Ì«¸Ö²»Ðâ,1999-01-11,0.4878,0.489,0.5062,0.4866,0.4976,2041000,8329760.8,0.0098,2.0101,4.0812,0.8874,933800000,N/A,2549680000,230000000,0,628000000,20.8512,5.0709,1.066,7.8483,
000825.SZ,Ì«¸Ö²»Ðâ,1999-01-12,0.4976,0.5,0.5209,0.4951,0.5147,4762700,19809455.6,0.0172,3.4483,4.1593,2.0707,966000000,N/A,2637600000,230000000,0,628000000,21.5702,5.2457,1.1028,8.119,
000825.SZ,Ì«¸Ö²»Ðâ,1999-01-13,0.5147,0.5025,0.527,0.5025,0.5245,7391200,31481823.2,0.0098,1.9048,4.2594,3.2136,984400000,N/A,2687840000,230000000,0,628000000,21.9811,5.3456,1.1238,8.2736,
000825.SZ,Ì«¸Ö²»Ðâ,1999-01-14,0.5245,0.5245,0.5295,0.5209,0.5233,4285900,18307031.2,-0.0012,-0.2336,4.2715,1.8634,982100000,N/A,2681560000,230000000,0,628000000,21.9297,5.3331,1.1212,8.2543,
000825.SZ,Ì«¸Ö²»Ðâ,1999-01-15,0.5233,0.5221,0.5307,0.5209,0.5209,4044200,17358423.5,-0.0025,-0.4684,4.2922,1.7583,977500000,N/A,2669000000,230000000,0,628000000,21.827,5.3082,1.1159,8.2156,
000825.SZ,Ì«¸Ö²»Ðâ,1999-01-18,0.5209,0.5209,0.5282,0.5184,0.527,3642200,15592000,0.0061,1.1765,4.2809,1.5836,989000000,N/A,2700400000,230000000,0,628000000,22.0838,5.3706,1.129,8.3123,
000825.SZ,Ì«¸Ö²»Ðâ,1999-01-19,0.527,0.5258,0.527,0.5209,0.5233,2869200,12291555.2,-0.0037,-0.6977,4.284,1.2475,982100000,N/A,2681560000,230000000,0,628000000,21.9297,5.3331,1.1212,8.2543,
000825.SZ,Ì«¸Ö²»Ðâ,1999-01-20,0.5233,0.5245,0.5331,0.5233,0.5258,2650400,11405292.9,0.0025,0.4684,4.3032,1.1523,986700000,N/A,2694120000,230000000,0,628000000,22.0324,5.3581,1.1264,8.2929,
000825.SZ,Ì«¸Ö²»Ðâ,1999-01-21,0.5258,0.5282,0.5331,0.5233,0.5295,3309200,14244145.7,0.0037,0.6993,4.3044,1.4388,993600000,N/A,2712960000,230000000,0,628000000,22.1865,5.3956,1.1343,8.3509,
000825.SZ,Ì«¸Ö²»Ðâ,1999-01-22,0.5295,0.5307,0.5564,0.5282,0.5491,13607800,60700046.1,0.0196,3.7037,4.4607,5.9164,1030400000,N/A,2813440000,230000000,0,628000000,23.0082,5.5954,1.1763,8.6602,
000825.SZ,Ì«¸Ö²»Ðâ,1999-01-25,0.5491,0.5515,0.5613,0.538,0.5417,8377500,37672091.3,-0.0074,-1.3393,4.4968,3.6424,1016600000,N/A,2775760000,230000000,0,628000000,22.7001,5.5205,1.1605,8.5442,
000825.SZ,Ì«¸Ö²»Ðâ,1999-01-26,0.5417,0.5393,0.5429,0.5307,0.5331,3167000,13851012.8,-0.0086,-1.5837,4.3735,1.377,1000500000,N/A,2731800000,230000000,0,628000000,22.3406,5.4331,1.1422,8.4089,
000825.SZ,Ì«¸Ö²»Ðâ,1999-01-27,0.5331,0.5307,0.5466,0.5295,0.5368,4690000,20583818.5,0.0037,0.6897,4.3889,2.0391,1007400000,N/A,2750640000,230000000,0,628000000,22.4946,5.4705,1.15,8.4669,
000825.SZ,Ì«¸Ö²»Ðâ,1999-01-28,0.5368,0.5368,0.5454,0.5344,0.5429,4186500,18479867.3,0.0061,1.1416,4.4142,1.8202,1018900000,N/A,2782040000,230000000,0,628000000,22.7514,5.533,1.1632,8.5636,
000825.SZ,Ì«¸Ö²»Ðâ,1999-01-29,0.5429,0.5454,0.5515,0.5356,0.538,3994700,17704111.1,-0.0049,-0.9029,4.4319,1.7368,1009700000,N/A,2756920000,230000000,0,628000000,22.546,5.483,1.1527,8.4862,
000825.SZ,Ì«¸Ö²»Ðâ,1999-02-01,0.538,0.5356,0.5368,0.5245,0.5258,3622300,15594441,-0.0123,-2.2779,4.3051,1.5749,986700000,N/A,2694120000,230000000,0,628000000,22.0324,5.3581,1.1264,8.2929,
000825.SZ,Ì«¸Ö²»Ðâ,1999-02-02,0.5258,0.5258,0.5319,0.5245,0.5307,1701000,7321768.2,0.0049,0.9324,4.3044,0.7396,995900000,N/A,2719240000,230000000,0,628000000,22.2378,5.4081,1.1369,8.3703,
000825.SZ,Ì«¸Ö²»Ðâ,1999-02-03,0.5307,0.527,0.538,0.527,0.5319,1635700,7114531.8,0.0012,0.2309,4.3495,0.7112,998200000,N/A,2725520000,230000000,0,628000000,22.2892,5.4206,1.1395,8.3896,
000825.SZ,Ì«¸Ö²»Ðâ,1999-02-04,0.5319,0.5393,0.5393,0.5245,0.527,2141000,9212830.3,-0.0049,-0.9217,4.3031,0.9309,989000000,N/A,2700400000,230000000,0,628000000,22.0838,5.3706,1.129,8.3123,
000825.SZ,Ì«¸Ö²»Ðâ,1999-02-05,0.527,0.527,0.5295,0.5245,0.5282,3203900,13778332.9,0.0012,0.2326,4.3005,1.393,991300000,N/A,2706680000,230000000,0,628000000,22.1351,5.3831,1.1317,8.3316,
000825.SZ,Ì«¸Ö²»Ðâ,1999-02-08,0.5282,0.527,0.5442,0.5233,0.5319,3462200,15020768.7,0.0037,0.6961,4.3385,1.5053,998200000,N/A,2725520000,230000000,0,628000000,22.2892,5.4206,1.1395,8.3896,
000825.SZ,Ì«¸Ö²»Ðâ,1999-02-09,0.5319,0.5331,0.5405,0.5331,0.538,1930500,8459217.7,0.0061,1.1521,4.3819,0.8393,1009700000,N/A,2756920000,230000000,0,628000000,22.546,5.483,1.1527,8.4862,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-01,0.538,0.5478,0.592,0.5454,0.592,20531300,97159456.3,0.0539,10.0228,4.7323,8.9267,1110900000,N/A,3033240000,230000000,0,628000000,24.8057,6.0326,1.2682,9.3368,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-02,0.592,0.592,0.6103,0.5858,0.6079,21337500,104272104.9,0.0159,2.6915,4.8868,9.2772,1140800000,N/A,3114880000,230000000,0,628000000,25.4734,6.1949,1.3023,9.5881,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-03,0.6079,0.6079,0.6103,0.5932,0.6054,11543900,56596444.6,-0.0025,-0.4032,4.9027,5.0191,1136200000,N/A,3102320000,230000000,0,628000000,25.3707,6.17,1.2971,9.5494,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-04,0.6054,0.6054,0.6459,0.5981,0.6398,17140200,87714794.4,0.0343,5.668,5.1175,7.4523,1200600000,N/A,3278160000,230000000,0,628000000,26.8087,6.5197,1.3706,10.0907,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-05,0.6398,0.6398,0.6422,0.6189,0.625,13131900,67419721.8,-0.0147,-2.2989,5.134,5.7095,1173000000,N/A,3202800000,230000000,0,628000000,26.1924,6.3698,1.3391,9.8587,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-08,0.625,0.625,0.6373,0.6201,0.6299,7161900,36840147.8,0.0049,0.7843,5.1439,3.1139,1182200000,N/A,3227920000,230000000,0,628000000,26.3978,6.4198,1.3496,9.9361,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-09,0.6299,0.6312,0.6324,0.6214,0.6226,6675100,34071498.8,-0.0074,-1.1673,5.1043,2.9022,1168400000,N/A,3190240000,230000000,0,628000000,26.0897,6.3448,1.3338,9.8201,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-10,0.6226,0.6238,0.6545,0.6238,0.6398,8775600,45890623.9,0.0172,2.7559,5.2293,3.8155,1200600000,N/A,3278160000,230000000,0,628000000,26.8087,6.5197,1.3706,10.0907,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-11,0.6398,0.6398,0.6459,0.6361,0.6398,5360800,27986490.2,0,0,5.2206,2.3308,1200600000,N/A,3278160000,230000000,0,628000000,26.8087,6.5197,1.3706,10.0907,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-12,0.6398,0.6398,0.652,0.6398,0.6496,6551600,34624951,0.0098,1.5326,5.285,2.8485,1219000000,N/A,3328400000,230000000,0,628000000,27.2195,6.6196,1.3916,10.2454,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-15,0.6496,0.652,0.679,0.6434,0.6483,10252000,55544058.5,-0.0012,-0.1887,5.4179,4.4574,1216700000,N/A,3322120000,230000000,0,628000000,27.1682,6.6071,1.389,10.226,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-16,0.6483,0.6459,0.6594,0.6263,0.652,7446800,39065440.7,0.0037,0.5671,5.2459,3.2377,1223600000,N/A,3340960000,230000000,0,628000000,27.3222,6.6446,1.3968,10.284,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-17,0.652,0.6508,0.6741,0.6508,0.6581,7747000,41855960,0.0061,0.9398,5.4029,3.3683,1235100000,N/A,3372360000,230000000,0,628000000,27.579,6.707,1.41,10.3807,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-18,0.6581,0.6581,0.6594,0.6373,0.6496,4899900,25942642.4,-0.0086,-1.3035,5.2945,2.1304,1219000000,N/A,3328400000,230000000,0,628000000,27.2195,6.6196,1.3916,10.2454,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-19,0.6496,0.6459,0.6569,0.6398,0.6545,4065800,21603087.6,0.0049,0.7547,5.3134,1.7677,1228200000,N/A,3353520000,230000000,0,628000000,27.425,6.6695,1.4021,10.3227,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-22,0.6545,0.6557,0.6704,0.652,0.6545,3221400,17374697.2,0,0,5.3935,1.4006,1228200000,N/A,3353520000,230000000,0,628000000,27.425,6.6695,1.4021,10.3227,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-23,0.6545,0.652,0.6594,0.6483,0.6508,3481000,18535837.5,-0.0037,-0.5618,5.3249,1.5135,1221300000,N/A,3334680000,230000000,0,628000000,27.2709,6.6321,1.3942,10.2647,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-24,0.6508,0.6508,0.6569,0.6471,0.6496,3087100,16404098.1,-0.0012,-0.1883,5.3138,1.3422,1219000000,N/A,3328400000,230000000,0,628000000,27.2195,6.6196,1.3916,10.2454,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-25,0.6496,0.6496,0.6777,0.6471,0.6753,7781100,42179885.9,0.0257,3.9623,5.4208,3.3831,1267300000,N/A,3460280000,230000000,0,628000000,28.298,6.8819,1.4467,10.6513,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-26,0.6753,0.6753,0.6888,0.663,0.6741,4756900,26214297.6,-0.0012,-0.1815,5.5108,2.0682,1265000000,N/A,3454000000,230000000,0,628000000,28.2467,6.8694,1.4441,10.632,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-29,0.6741,0.6716,0.7047,0.6679,0.6937,12362500,68857529.1,0.0196,2.9091,5.5699,5.375,1301800000,N/A,3554480000,230000000,0,628000000,29.0684,7.0692,1.4861,10.9413,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-30,0.6937,0.6814,0.6986,0.6679,0.6704,6839100,38302707,-0.0233,-3.3569,5.6005,2.9735,1258100000,N/A,3435160000,230000000,0,628000000,28.0926,6.8319,1.4362,10.574,
000825.SZ,Ì«¸Ö²»Ðâ,1999-03-31,0.6704,0.6692,0.6839,0.6557,0.6643,4149500,22639246.1,-0.0061,-0.9141,5.4559,1.8041,1246600000,N/A,3403760000,230000000,0,628000000,27.8358,6.7695,1.4231,10.4773,
