date,close,high,low,open,volume
2010/1/4,20.68551636,20.74680672,20.28329755,20.33692716,3746700
2010/1/5,20.84641266,20.87897359,20.57060591,20.61274333,3276600
2010/1/6,20.86173248,20.99963474,20.74681248,20.7946949,2470800
2010/1/7,20.67404366,20.95176627,20.61275324,20.8425934,3049200
2010/1/8,20.69510841,20.69893989,20.26415983,20.62615725,3692400
2010/1/11,21.14711952,21.34631438,20.71425533,20.71425533,3252900
2010/1/12,21.24096107,21.40759493,20.82533431,21.04751351,5898000
2010/1/13,21.37887764,21.50145624,21.18542777,21.23714168,3539700
2010/1/14,21.2696991,21.37121116,21.03028257,21.3060915,1731900
2010/1/15,20.74489975,21.2696995,20.69510158,21.2696995,3330300
2010/1/19,21.21032333,21.24288426,20.66637065,20.71425307,3393000
2010/1/20,20.86747932,21.15094899,20.63189428,21.09731936,2156400
2010/1/21,20.05730057,20.94792923,20.04389261,20.87514661,3979800
2010/1/22,19.39459991,20.14157694,19.29691711,20.11476321,4684500
2010/1/25,19.82362556,19.85618649,19.51142866,19.57463258,3771300
2010/1/26,19.24328423,19.81405064,19.2107233,19.63975598,3578700
2010/1/27,19.89640999,19.95961611,19.21072355,19.21072355,5362200
2010/1/28,19.21646881,20.44227869,18.91193262,20.11092659,6083700
2010/1/29,18.96747398,19.52291886,18.78551858,19.27584161,5793300
2010/2/1,19.43098831,19.45780423,18.96747888,19.07473817,3535800
2010/2/2,19.49611092,19.7048801,19.28351026,19.40417532,3034200
2010/2/3,19.50377274,19.58038683,19.28925634,19.4252451,2854200
2010/2/4,18.82382584,19.80638989,18.8065886,19.80638989,5029500
2010/2/5,18.77019691,18.98088177,18.08642518,18.852556,6282900
2010/2/8,18.44459343,18.87554189,18.43118766,18.76062406,3813000
2010/2/9,18.62080383,18.85064389,18.42927191,18.73189239,4401600
2010/2/10,18.63612938,18.81233982,18.51354859,18.52120934,2889900
2010/2/11,18.76828575,18.84298191,18.46374733,18.60356755,2362800
2010/2/12,18.7433815,18.77402669,18.35265588,18.64761665,3818400
2010/2/16,19.14943695,19.15326623,18.87363017,18.89278314,3912000
2010/2/17,19.32564354,19.36778315,19.11112717,19.15709606,3474900
2010/2/18,19.42332268,19.44822285,19.20497488,19.33904786,3449700
2010/2/19,19.46163177,19.5918755,19.30074505,19.46163177,4464600
2010/2/22,19.41375351,19.60528547,19.31607289,19.58038748,2446200
