date,close,high,low,open,volume
2010/1/4,50.04576492,50.18955661,48.92158082,49.22223389,4225500
2010/1/5,50.09806061,50.15688177,49.59478964,50.14381206,3711400
2010/1/6,49.94772339,50.13072917,49.34641725,50.05230097,3225500
2010/1/7,49.65359497,49.74509784,49.05882134,49.61438088,2836400
2010/1/8,49.75164032,49.83006851,48.84967626,49.28758859,2496200
2010/1/11,49.0718956,49.67320158,48.60130658,49.47712116,2811600
2010/1/12,48.49019623,48.6797393,48.00000016,48.40522572,2567500
2010/1/13,49.06536865,49.24837443,47.94118463,48.54902809,2131300
2010/1/14,48.34641266,49.20915768,48.05882932,49.1045801,2867600
2010/1/15,47.73203659,48.39216886,47.18955161,48.04576435,3400400
2010/1/19,48.08498383,48.12419793,47.25492037,47.46407057,2198900
2010/1/20,47.08496475,47.28757752,46.261434,47.28757752,2905400
2010/1/21,46.68628693,47.62092789,46.61439108,47.17648313,2963800
2010/1/22,45.2941246,46.87582293,45.16340264,46.73203126,3269500
2010/1/25,46.38563156,46.73203607,45.54903087,45.69282255,2756500
2010/1/26,45.59478378,46.58824588,45.11765729,45.75818252,3628800
2010/1/27,45.3268013,45.9738588,44.49673804,45.59477758,3633100
2010/1/28,44.78430939,46.20261376,44.28104363,45.58823311,3760800
2010/1/29,43.73204422,45.8431533,43.43792348,45.23530974,4751100
2010/2/1,45.59478378,45.68628667,44.16340929,44.24837483,3073400
2010/2/2,46.61437988,46.71895744,45.32679736,45.61438066,3556800
2010/2/3,46.07190704,46.71896964,45.79086101,46.48367506,3298300
2010/2/4,43.69934845,45.67973988,43.60784558,45.54248557,4551200
2010/2/5,43.61437607,43.92156139,42.26143525,43.61437607,4666200
2010/2/8,43.22875595,44.18954102,43.01306849,43.54901598,3113000
2010/2/9,43.98693466,44.74510208,43.4640568,43.86275005,3853300
2010/2/10,43.40524292,43.98694203,42.5294231,43.8496827,3950400
2010/2/11,43.86274338,44.27450627,43.07843168,43.13725282,3357100
