date,close,high,low,open,volume
2010/1/4,46.92007065,46.98299174,46.22791196,46.41668057,5771300
2010/1/5,47.0529213,47.27664967,46.65440496,46.8361806,7365300
2010/1/6,48.10163498,48.19951578,46.86413359,46.96201439,9950000
2010/1/7,48.59802246,48.80776471,47.68912337,47.88488494,7691900
2010/1/8,49.39506912,50.33892286,48.30438883,48.37430827,13487200
2010/1/11,49.39506912,50.0312944,48.50015579,49.8495188,10301600
2010/1/12,48.65393829,49.4369897,48.10161344,48.3812697,9407300
2010/1/13,49.53490067,49.69570792,47.69613347,48.73786809,8803900
2010/1/14,49.84252548,50.22006804,49.01752626,49.01752626,7211800
2010/1/15,49.52088928,50.31792136,49.03847316,49.79355787,12585500
2010/1/19,49.5908165,49.81454477,48.61899633,48.84971761,7363000
2010/1/20,48.30439758,49.04550215,47.52834396,48.77982104,10724500
2010/1/21,47.75903702,48.584036,47.2067067,48.25543394,11573600
2010/1/22,45.61264038,47.80797557,45.38891212,47.11581711,14339800
2010/1/25,46.01114273,46.54949219,45.09525629,45.92724799,9890500
2010/1/26,45.96921921,47.36752245,45.28404827,45.6196434,9105700
2010/1/27,45.93424606,46.34674817,45.31899474,45.76645122,9693300
2010/1/28,45.18616486,46.66836813,44.90650849,46.22790455,8888400
2010/1/29,44.36814499,46.27683056,43.96962892,45.72450034,11921200
2010/2/1,45.29803085,45.58468022,44.69676008,44.95544808,8508100
2010/2/2,46.22790909,46.51455849,45.42388362,45.79443314,7972100
2010/2/3,46.13702011,46.75926471,45.84337767,45.9482515,6110700
2010/2/4,43.69697952,45.57769923,43.57812502,45.43786569,9732100
2010/2/5,43.38935089,44.16540696,42.13087583,43.77388375,11505100
2010/2/8,43.43129349,44.52197086,43.04676067,43.50820058,7956800
2010/2/9,44.57790375,45.43785987,44.04654972,44.13744017,9163500
2010/2/10,44.50099564,44.92048548,43.59209652,44.47302893,6904200
2010/2/11,45.27705765,45.37493844,43.73193063,44.43807522,7325000
2010/2/12,45.10169601,45.40330942,44.27401041,44.68083879,8400000
2010/2/16,46.04861832,46.11875985,45.29107695,45.82416221,6115900
2010/2/17,45.89430618,46.29411881,45.50851972,46.17487767,6430200
2010/2/18,46.16083527,46.52557972,45.65580778,46.20993486,7704400
2010/2/19,44.82114029,45.16483767,44.17582672,44.44236946,18088700
2010/2/22,43.18680573,43.44633264,41.91021041,42.1486954,87130600
2010/2/23,42.70281982,43.29201783,42.1977922,43.13770324,35857500
2010/2/24,42.72386169,43.13770318,42.33807789,42.87817629,22980900
2010/2/25,42.65372467,42.74490814,41.67874009,42.14869699,17558200
2010/2/26,42.85714722,43.06757725,42.45032134,42.87819183,15524000
2010/3/1,43.08158493,43.47438447,42.7589296,43.36917217,12843400
2010/3/2,44.05658722,44.10568685,42.78700464,43.20084627,17688300
2010/3/3,44.35116577,44.91230604,44.21088004,44.46339382,15293200
2010/3/4,44.10568237,44.7018936,43.67781194,44.35819625,12989200
2010/3/5,44.75800705,44.84919053,44.33714972,44.4774355,11023900
2010/3/8,45.22796631,45.34720749,44.73696473,44.77203818,12253000
2010/3/9,44.96139908,45.29107011,44.68083032,44.91931524,12032000
2010/3/10,45.03155518,45.25601132,44.35117365,44.89828785,11854600
2010/3/11,44.82114029,45.02455455,44.4353537,44.93336571,8021300
2010/3/12,45.27004242,45.36122589,44.75098591,45.01051283,8398200
2010/3/15,45.10871124,45.36122507,44.40027205,44.9614124,10054100
2010/3/16,45.95744705,46.05565165,45.01052265,45.45943504,9911800
2010/3/17,46.71497726,46.98152261,45.94340962,46.13279232,12425700
2010/3/18,45.76806259,46.80617579,45.45242292,46.6448454,12906100
2010/3/19,45.11572647,46.13980793,44.70890072,45.11572647,18665900
2010/3/22,44.53355408,45.10171031,43.51648547,43.97942669,15691300
2010/3/23,44.21087646,44.87021857,44.03551998,44.56158944,10663100
2010/3/24,43.63571548,44.40728577,43.49542973,43.77600123,11762400
2010/3/25,42.61864471,44.36519672,42.55551626,44.08462523,12399200
2010/3/26,43.25694275,43.48140154,42.85713012,42.87115896,11645300
2010/3/29,44.23894882,44.47042075,43.61467995,43.71287919,10952500
2010/3/30,44.22489548,44.77200941,44.02849711,44.40025192,10340600
2010/3/31,44.51249313,44.58263734,44.14775129,44.49145121,11957700
2010/4/1,45.29109192,45.50152193,44.87023725,45.05961998,11194100
2010/4/5,46.13278198,46.45544263,45.42434563,45.61372828,9733800
2010/4/6,46.8482399,47.00956487,46.15382971,46.21695547,10429500
2010/4/7,46.32217407,46.89032742,46.06966028,46.89032742,9757000
2010/4/8,46.72900772,46.84824887,45.62075322,45.92938241,8790900
2010/4/9,46.66587067,47.24103977,46.45544608,47.04464135,7648400
2010/4/12,46.51156616,46.88332116,46.39934076,46.43440886,5928200
2010/4/13,45.95043182,46.57470071,45.31914717,46.57470071,10312400
2010/4/14,47.0656929,47.29014905,46.13279485,46.29412522,9175700
2010/4/15,47.14284515,47.34625935,46.7710902,47.00256208,5998100
2010/4/16,46.15383911,47.10777903,45.49449687,46.61677755,11292900
2010/4/19,45.76102448,46.2379943,45.24898656,45.71894063,9762400
2010/4/20,47.59174728,47.69696224,46.42738305,46.57468185,11961900
2010/4/21,47.71099091,48.04767772,47.11477992,47.61980746,8688900
2010/4/22,47.82323456,47.98456493,46.84123689,47.17792379,11255300
2010/4/23,50.9796524,51.33738124,49.02968858,49.19802936,22082900
2010/4/26,50.98666382,51.32334534,50.67803463,50.92353269,10580700
2010/4/27,49.31726074,50.91651118,49.09982039,50.77622812,14671400
2010/4/28,49.80827332,49.89945679,48.4825783,49.63992718,10860300
2010/4/29,51.3093071,51.8985023,50.01167022,50.69204886,27991300
2010/4/30,50.09585571,51.76525342,49.47158685,51.43558226,24492000
