date,close,high,low,open,volume
2010/1/4,24.50038528,24.57094651,24.03781789,24.08485821,11571600
2010/1/5,24.81399536,24.95511785,24.29654723,24.52391157,18989700
2010/1/6,25.40200043,25.55096169,24.80614939,24.88455092,15720800
2010/1/7,25.46471786,25.49607907,25.02567142,25.33143722,8993100
2010/1/8,26.75049782,26.76617842,25.47255997,25.8332049,23014600
2010/1/11,26.48393822,27.33851186,26.17033505,27.21307,15943400
2010/1/12,26.09976768,26.44473199,25.76264219,26.00568406,15739600
2010/1/13,26.69562531,26.82106719,26.00569346,26.14681595,13885400
2010/1/14,26.89946175,27.15818424,26.42121379,26.71913929,12008000
2010/1/15,26.6799469,26.88379184,26.24090177,26.80538879,11967100
2010/1/19,27.12682724,27.22091088,26.53881795,26.53881795,12018100
2010/1/20,26.08409309,26.84458608,25.88024819,26.73482184,17463600
2010/1/21,25.50392151,26.28009507,25.48040209,26.06841137,20825600
2010/1/22,24.42198563,25.45688324,24.34358409,25.30008016,21577600
2010/1/25,24.35926819,24.6963938,23.14404941,23.27733159,29815000
2010/1/26,24.21030235,24.6963907,23.76341552,24.17110233,18930800
2010/1/27,23.84181786,24.20246435,23.04996512,24.09270159,19410700
2010/1/28,23.24596596,24.17110077,23.01860315,24.17110077,16881400
2010/1/29,22.90100288,24.03782153,22.74420129,23.50469283,18196500
2010/2/1,24.02998543,24.06918695,23.15189217,23.1832519,13821700
2010/2/2,24.11622238,24.6963914,23.85749834,24.1475821,16414100
2010/2/3,23.8026104,24.46901956,23.64580736,24.07701347,11090200
2010/2/4,22.62659073,23.49684318,22.50898771,23.49684318,17959900
2010/2/5,22.1797142,22.94020578,21.72498552,22.58739956,22097000
2010/2/8,22.03075409,22.75204573,21.99155256,22.21107663,16336400
2010/2/9,22.79907799,23.26948567,22.39139123,22.39139123,20175400
2010/2/10,22.91667938,23.13620337,22.34435076,22.74419721,12150700
2010/2/11,23.6458149,23.70069553,22.63443963,22.9323637,14493200
2010/2/12,23.5360527,23.58309303,23.06564496,23.19892713,14981300
2010/2/16,24.34358406,24.4141453,23.85749722,24.05350031,15028400
2010/2/17,24.36710358,24.49254543,24.09269896,24.4219842,11394000
2010/2/18,24.72775269,24.82183334,24.24950463,24.24950463,11485800
2010/2/19,24.92375755,25.15112189,24.45334976,24.63367228,12130100
2010/2/22,24.32006645,25.20600135,24.20246488,25.01783705,14988500
2010/2/23,23.67718315,24.29655238,23.56742036,24.16327017,14472400
2010/2/24,23.52821159,23.94373869,23.27732787,23.75557441,18173300
2010/2/25,23.52036858,23.5909298,22.73635629,23.0342803,13093300
2010/2/26,23.709095,23.78773243,23.2451358,23.60686739,12722900
2010/3/1,24.18092537,24.33820028,23.87424094,23.9528769,11698800
2010/3/2,24.54265785,24.90438958,24.25170119,24.34606494,12519400
2010/3/3,24.92798424,25.33689789,24.69993572,24.79430098,10792800
2010/3/4,24.73138809,25.07739053,24.5112035,24.99089067,7605700
2010/3/5,25.06952477,25.25039136,24.88865967,24.9987527,8737400
2010/3/8,24.69993019,25.47057395,24.58197476,25.08525207,10685000
2010/3/9,24.30673981,24.5741062,24.0551012,24.49546876,14949900
2010/3/10,24.0944252,24.4797471,23.7091033,24.25956402,20693100
2010/3/11,24.17306328,24.21238276,23.7248317,23.99219817,13677900
2010/3/12,24.77070999,24.81002798,24.20452287,24.50334348,15641400
